N,t_disc,d_model,nhead,num_layers,dim_f,dropout,max_epochs,best_epoch,best_val,test_mse,test_mae
1000,100,32,2,3,256,0.1,160,112,0.0019389201886951923,0.0021224763384088876,0.03501307815313339
1000,100,32,2,3,512,0.1,160,113,0.0022241103462874888,0.0019510137382894755,0.0340578618645668
1000,100,32,2,4,64,0.1,160,106,0.002181349191814661,0.0018572532944381237,0.03318351149559021
1000,100,32,2,4,128,0.1,160,41,2.6701064491271973,2.6315354537963866,1.137886748313904
1000,100,32,2,4,256,0.1,160,30,0.8655896711349488,0.8524816179275513,0.7461346244812012
1000,100,32,2,4,512,0.1,160,92,0.9406640028953552,0.8869265365600586,0.7979969882965088
1000,100,32,4,1,64,0.1,160,117,0.0011478101788088679,0.0009745137649588287,0.025126284062862395
1000,100,32,4,1,128,0.1,160,71,0.002833778606727719,0.002805611211806536,0.04286792874336243
1000,100,32,4,1,256,0.1,160,63,0.0015445186523720621,0.0016223904583603144,0.0318863707780838
1000,100,32,4,1,512,0.1,160,126,0.0011010427447035909,0.0010680936358403415,0.026721096038818358
1000,100,32,4,2,64,0.1,160,89,0.0012710434524342417,0.0012013397295959293,0.024566141963005064
1000,100,32,4,2,128,0.1,160,121,0.0013886634819209576,0.0012631413154304027,0.028510680496692656
1000,100,32,4,2,256,0.1,160,101,0.001205254876986146,0.0011768755968660117,0.027690300643444063
1000,100,32,4,2,512,0.1,160,110,0.0008132669841870666,0.0006930732564069331,0.020637466609477996
1000,100,32,4,3,64,0.1,160,109,0.001078423373401165,0.001176249599084258,0.0287406262755394
1000,100,32,4,3,128,0.1,160,89,0.0013912351289764046,0.001244494691491127,0.02732881426811218
1000,100,32,4,3,256,0.1,160,102,0.0009798799175769091,0.0009942567767575383,0.025862602293491365
1000,100,32,4,3,512,0.1,160,118,0.0021053077559918167,0.001983308121562004,0.03460730642080307
1000,100,32,4,4,64,0.1,160,101,0.0014196947868913411,0.0014910172764211894,0.03296960860490799
1000,100,32,4,4,128,0.1,160,104,0.0008598673483356834,0.0007622428191825747,0.021386974155902863
1000,100,32,4,4,256,0.1,160,137,0.0012869347725063562,0.0011309028277173639,0.0261884942650795
1000,100,32,4,4,512,0.1,160,42,7.121168899536133,6.934281539916992,2.2380341625213624
1000,100,32,8,1,64,0.1,160,89,0.0010665539931505917,0.0009427074855193495,0.020533636212348938
1000,100,32,8,1,128,0.1,160,91,0.001899769976735115,0.0019050825387239457,0.036735107004642484
1000,100,32,8,1,256,0.1,160,80,0.0014647887460887432,0.0014743074914440513,0.02919149965047836
1000,100,32,8,1,512,0.1,160,120,0.001068910607136786,0.00108340366743505,0.026148646473884582
1000,100,32,8,2,64,0.1,160,100,0.0009044632874429226,0.000852441897150129,0.02155229151248932
1000,100,32,8,2,128,0.1,160,91,0.0011448849085718394,0.0009687444334849716,0.021341562569141388
1000,100,32,8,2,256,0.1,160,95,0.0013253132766112685,0.0011470753862522541,0.026007674634456635
1000,100,32,8,2,512,0.1,160,86,0.0009902464039623737,0.0008108193147927523,0.0207006099820137
1000,100,32,8,3,64,0.1,160,127,0.0016768973134458065,0.0014383348636329174,0.029695399403572083
1000,100,32,8,3,128,0.1,160,91,0.0009255295665934682,0.0010359358275309205,0.026163375675678252
1000,100,32,8,3,256,0.1,160,108,0.001107339528389275,0.000972895729355514,0.0237295001745224
1000,100,32,8,3,512,0.1,160,82,0.17339819222688674,0.22045690059661865,0.36920616507530213
1000,100,32,8,4,64,0.1,160,127,0.0017360673472285272,0.0015848990343511104,0.030212060511112214
1000,100,32,8,4,128,0.1,160,24,4.241017646789551,4.029651832580567,1.5543554306030274
1000,100,32,8,4,256,0.1,160,125,0.005130292885005474,0.0044288279116153715,0.04864485889673233
1000,100,32,8,4,512,0.1,160,155,0.016121891289949418,0.01712169449776411,0.10229425877332687
1000,100,64,1,1,64,0.1,160,140,0.0009460070030763746,0.001072549605742097,0.028139217793941497
1000,100,64,1,1,128,0.1,160,111,0.001022127168253064,0.0011646635551005602,0.026246699690818786
1000,100,64,1,1,256,0.1,160,103,0.001633100062608719,0.0015923523111268877,0.030625281035900117
1000,100,64,1,1,512,0.1,160,126,0.0010083316313102841,0.0011229103570804,0.0280282399058342
1000,100,64,1,2,64,0.1,160,92,0.000487808755133301,0.0005021245591342449,0.01631171852350235
