Summary (d_model, nhead, num_layers, dim_f -> best_epoch, best_val, test_mse, test_mae)
d_model=256, nhead= 4, layers= 2, dim_f= 512 -> best_epoch=109, best_val=0.122688, test_mse=0.125422, test_mae=0.307306
d_model=256, nhead= 4, layers= 3, dim_f=  64 -> best_epoch=141, best_val=7.124449, test_mse=6.962743, test_mae=2.235200
d_model=256, nhead= 4, layers= 3, dim_f= 128 -> best_epoch=  4, best_val=6.790916, test_mse=6.725615, test_mae=2.173650
d_model=256, nhead= 4, layers= 3, dim_f= 256 -> best_epoch= 72, best_val=7.178244, test_mse=7.109359, test_mae=2.248156
d_model=256, nhead= 4, layers= 3, dim_f= 512 -> best_epoch= 45, best_val=7.179053, test_mse=7.102159, test_mae=2.248152
d_model=256, nhead= 4, layers= 4, dim_f=  64 -> best_epoch= 69, best_val=7.178261, test_mse=7.106864, test_mae=2.248156
d_model=256, nhead= 4, layers= 4, dim_f= 128 -> best_epoch= 44, best_val=7.169857, test_mse=7.087706, test_mae=2.246804
d_model=256, nhead= 4, layers= 4, dim_f= 256 -> best_epoch= 47, best_val=7.178224, test_mse=7.108185, test_mae=2.248156
d_model=256, nhead= 4, layers= 4, dim_f= 512 -> best_epoch= 32, best_val=7.179116, test_mse=7.102051, test_mae=2.248156
d_model=256, nhead= 8, layers= 1, dim_f=  64 -> best_epoch=117, best_val=0.000190, test_mse=0.000247, test_mae=0.011217
d_model=256, nhead= 8, layers= 1, dim_f= 128 -> best_epoch=113, best_val=0.000204, test_mse=0.000222, test_mae=0.010697
d_model=256, nhead= 8, layers= 1, dim_f= 256 -> best_epoch=115, best_val=0.000172, test_mse=0.000176, test_mae=0.010684
d_model=256, nhead= 8, layers= 1, dim_f= 512 -> best_epoch=109, best_val=0.000515, test_mse=0.000555, test_mae=0.012654
d_model=256, nhead= 8, layers= 2, dim_f=  64 -> best_epoch=146, best_val=0.524613, test_mse=0.490685, test_mae=0.456488
d_model=256, nhead= 8, layers= 2, dim_f= 128 -> best_epoch=103, best_val=0.002734, test_mse=0.003159, test_mae=0.042108
d_model=256, nhead= 8, layers= 2, dim_f= 256 -> best_epoch=115, best_val=0.002748, test_mse=0.003352, test_mae=0.047295
d_model=256, nhead= 8, layers= 2, dim_f= 512 -> best_epoch= 71, best_val=0.318595, test_mse=0.328851, test_mae=0.456485
d_model=256, nhead= 8, layers= 3, dim_f=  64 -> best_epoch= 69, best_val=7.178273, test_mse=7.110152, test_mae=2.248155
d_model=256, nhead= 8, layers= 3, dim_f= 128 -> best_epoch= 23, best_val=7.178957, test_mse=7.102553, test_mae=2.248157
d_model=256, nhead= 8, layers= 3, dim_f= 256 -> best_epoch= 72, best_val=7.178134, test_mse=7.110742, test_mae=2.248124
d_model=256, nhead= 8, layers= 3, dim_f= 512 -> best_epoch= 63, best_val=7.178854, test_mse=7.114930, test_mae=2.248155
d_model=256, nhead= 8, layers= 4, dim_f=  64 -> best_epoch= 69, best_val=7.178265, test_mse=7.106790, test_mae=2.248156
d_model=256, nhead= 8, layers= 4, dim_f= 128 -> best_epoch=  3, best_val=7.178229, test_mse=7.107845, test_mae=2.248156
d_model=256, nhead= 8, layers= 4, dim_f= 256 -> best_epoch= 47, best_val=7.178224, test_mse=7.108188, test_mae=2.248156
d_model=256, nhead= 8, layers= 4, dim_f= 512 -> best_epoch= 45, best_val=7.179122, test_mse=7.102032, test_mae=2.248156
